
=== p10: 200/192 B (392 B round trip) — bridge 'cgpb' (mean +24.96 B on request, +6.37% of round trip, CV_size=0.11) ===
 offered   ctl_mean   brg_mean           Δmean%            Δp99%             Δsd%     Δach%   n
   16000   3087.997   3011.350     -1.97%±10.16     -3.09%±9.78      -7.06%±11.96    +1.31%   2
   18000   4773.023   4574.309     -3.94%±6.42      -3.28%±6.37      -2.48%±8.63     +1.09%   2
  pre-knee mean Δ = -1.18% (spread 5.35 across 5 steps) -> NOT resolved (error spans 0)

HOW TO READ THIS
  * Every Δ is computed WITHIN a round then averaged across rounds (paired), so
    round-to-round drift cancels. '±' is the between-round spread of that paired
    delta; with n=2 it is a range, not a real sd.
  * 'Δach%' should be ~0 below saturation (the load generator sets the rate).
    A negative Δach% at a step where the control kept up means the bridge arm
    saturated FIRST -- that is a capacity effect, not a latency effect.
  * Expect the effect to scale with the RELATIVE size change: p10 (+6.1% of round
    trip) is where 24 B should be detectable; p90 (+0.11%) mostly bounds it.
  * 'Δsd%' is the point of the sb arm. sb's size CV is 2.86 (p99.99 ~3 KB, 15x the
    p10 base request) while its MEAN is only ~33 B. If heavy-tailed baggage
    inflates latency variance, it shows up here and not in Δmean%.
  * Measured per-byte cost on this rig is ~24 ns/B (from the p10-vs-p90 baseline
    gap at 6k rps), so 24 B predicts ~0.6 us/request -- about 0.1% of a 0.5 ms
    response, i.e. an order of magnitude BELOW the +-1-3% step noise. A null here
    is expected; the useful output is the upper bound, not a point estimate.
